@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute Hand_Number numeric
@attribute ThumbExtension_x numeric
@attribute ThumbExtension_y numeric
@attribute ThumbExtension_z numeric
@attribute IndexExtension_x numeric
@attribute IndexExtension_y numeric
@attribute IndexExtension_z numeric
@attribute MiddleExtension_x numeric
@attribute MiddleExtension_y numeric
@attribute MiddleExtension_z numeric
@attribute RingExtension_x numeric
@attribute RingExtension_y numeric
@attribute RingExtension_z numeric
@attribute PinkyExtension_x numeric
@attribute PinkyExtension_y numeric
@attribute PinkyExtension_z numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric

@data
45,'2021/08/06 11:06:37:769',1,0,-84.13636,-24.732315,-45.357311,-82.281784,9.486176,73.253311,-64.259514,19.64122,97.999176,-37.457489,20.513611,103.723801,10.150063,33.84166,94.815384,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
46,'2021/08/06 11:06:37:786',1,0,-84.237183,-24.702744,-45.268681,-82.074356,8.417053,73.634247,-63.899921,18.579361,98.425743,-37.201817,19.327499,104.030731,10.517418,32.66037,95.227409,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
47,'2021/08/06 11:06:37:803',1,0,-84.388115,-24.371765,-45.369354,-81.879845,8.146988,73.817291,-63.542236,18.274017,98.644424,-36.92284,18.816803,104.17392,10.896019,32.136185,95.352638,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
48,'2021/08/06 11:06:37:820',1,0,-84.644859,-23.730225,-45.415737,-81.688477,7.865906,74.079987,-63.195236,17.935562,98.93367,-36.627724,18.437302,104.34874,11.388412,31.57663,95.539642,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
49,'2021/08/06 11:06:37:837',1,0,-84.860298,-23.012634,-45.387718,-81.448494,7.680878,74.302315,-62.84174,17.654633,99.155998,-36.26973,18.067734,104.498131,11.910866,31.110153,95.646378,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
50,'2021/08/06 11:06:37:854',1,0,-85.068329,-22.362015,-45.431923,-81.281601,7.445206,74.518509,-62.617165,17.41684,99.357498,-35.967052,17.665039,104.695587,12.335548,30.760284,95.768158,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
51,'2021/08/06 11:06:37:872',1,0,-85.220421,-21.839035,-45.476681,-81.113144,7.353195,74.634918,-62.457809,17.3992,99.407608,-35.785538,17.49823,104.739655,12.665771,30.52037,95.803787,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
52,'2021/08/06 11:06:37:889',1,0,-85.355873,-21.435867,-45.522568,-81.028191,7.317093,74.736267,-62.359303,17.282532,99.504623,-35.648605,17.368286,104.820236,12.91011,30.362488,95.859314,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
53,'2021/08/06 11:06:37:906',1,0,-85.402916,-21.368759,-45.61245,-80.929985,7.259323,74.782845,-62.292877,17.277908,99.485039,-35.472813,17.123077,104.885956,13.103958,30.173782,95.875198,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
54,'2021/08/06 11:06:37:923',1,0,-85.469574,-21.305176,-45.652481,-80.887299,7.1203,74.861824,-62.219757,17.24736,99.536919,-35.373264,16.949387,104.956337,13.301994,30.056717,95.920235,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
55,'2021/08/06 11:06:37:942',1,0,-85.494751,-21.323227,-45.708828,-80.807404,7.019119,74.898224,-62.142563,17.339493,99.496414,-35.289261,16.84198,104.946838,13.46418,30.036423,95.880615,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
56,'2021/08/06 11:06:37:959',1,0,-85.527512,-21.356491,-45.686508,-80.810913,7.114685,74.894264,-62.114227,17.414261,99.498039,-35.254623,16.802719,104.963234,13.580063,30.013931,95.888977,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
57,'2021/08/06 11:06:37:976',1,0,-85.507904,-21.344147,-45.723255,-80.772034,7.133194,74.86377,-62.095318,17.509491,99.419067,-35.200729,16.770569,104.930923,13.702637,29.925674,95.874969,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
58,'2021/08/06 11:06:37:994',1,0,-85.553238,-21.132965,-45.790981,-80.806244,7.283966,74.825523,-62.079811,17.592056,99.41066,-35.180401,16.839188,104.922859,13.78405,29.908493,95.878578,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
59,'2021/08/06 11:06:38:011',1,0,-85.483521,-20.873932,-45.432766,-80.765617,7.37114,74.790329,-62.022675,17.653915,99.364899,-35.12627,16.924545,104.863998,13.85936,29.825226,95.847137,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
60,'2021/08/06 11:06:38:028',1,0,-85.442627,-20.756378,-45.120865,-80.769569,7.561996,74.757805,-62.023117,17.744064,99.339607,-35.114002,17.016205,104.846756,13.860153,29.845016,95.831657,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
61,'2021/08/06 11:06:38:045',1,0,-85.370415,-20.795761,-45.012154,-80.770187,7.746155,74.654465,-62.01339,17.751434,99.275383,-35.11903,17.005096,104.790398,13.79744,29.916183,95.757172,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
62,'2021/08/06 11:06:38:063',1,0,-85.380196,-20.824783,-45.034992,-80.79052,7.95491,74.59565,-62.017937,17.805756,99.260216,-35.11124,17.011703,104.796051,13.725601,30.034409,95.712601,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
63,'2021/08/06 11:06:38:080',1,0,-85.401733,-20.775604,-45.020004,-80.735428,7.995728,74.572906,-61.93454,17.846634,99.237434,-35.053383,17.003983,104.761871,13.680923,30.100128,95.624199,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
64,'2021/08/06 11:06:38:098',1,0,-85.483727,-20.451691,-44.615372,-80.670403,8.115097,74.630112,-61.826286,17.910324,99.295044,-34.953331,17.079361,104.782951,13.722435,30.15863,95.577286,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
65,'2021/08/06 11:06:38:115',1,0,-85.483208,-20.384125,-44.425495,-80.645683,8.156631,74.582191,-61.789001,17.948776,99.244492,-34.909088,17.014145,104.757935,13.678513,30.19136,95.504089,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
66,'2021/08/06 11:06:38:132',1,0,-85.543945,-20.34819,-44.411415,-80.644676,8.160492,74.586403,-61.764404,17.938004,99.263161,-34.9077,17.004669,104.759094,13.656654,30.188828,95.495667,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
67,'2021/08/06 11:06:38:149',1,0,-85.555862,-20.355011,-44.490482,-80.605087,8.203842,74.544617,-61.740334,18.127731,99.167023,-34.882015,16.951355,104.725784,13.603287,30.21077,95.43396,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
